extension_id,name,latin_designation,extension_class,primary_capability,engines,engine_count,encryption_mode,contract_type,ring_affinity,routing_priority,modalities,status
EXT-001,Nova Cortex,Cortex Intelligentiae Universalis,Reasoning Intelligence,Multi-engine reasoning synthesis,"Nova Cognos / Nova Profundis / Nova Fusio",3,FIBONACCI_HASH,MULTI_MODEL_CONSENSUS,Interface Ring,P0 — primary alpha,"Text + Vision + Audio / Text + Vision / Text + Vision + Audio + Video",active
EXT-002,Nova Scholar,Scholasticus Profundus,Reasoning Intelligence,Deep document reasoning,"Nova Profundis / Nova Cognos / Nova Memoria / Nova Vector",4,PHI_CASCADE,CHAIN_OF_THOUGHT_PROOF,Memory Ring,P0 — primary alpha,"Text + Vision + Audio + Video / Text + Vision / Text / Text → Vector",active
EXT-003,Nova Polyglot,Interpres Linguarum Omnium,Reasoning Intelligence,Universal multilingual reasoning,"Nova Lingua / Nova Stratos / Nova Harmonia",3,SOVEREIGN_SEAL,SOVEREIGN_EXECUTION,Sovereign Ring,P1 — sovereign alpha,"Text / Audio → Text",active
EXT-004,Nova Logic,Logicus Mathematicus Formalis,Reasoning Intelligence,Formal mathematical reasoning,"Nova Formalis / Nova Cognos / Nova Codex",3,FIBONACCI_HASH,CHAIN_OF_THOUGHT_PROOF,Proof Ring,P1 — secondary alpha,"Text / Text → Math",active
EXT-005,Nova Canvas,Pictor Imaginum Divinarum,Creative Intelligence,Sovereign multi-engine image generation,"Nova Pictor / Nova Visio / Nova Segmentum / Nova Fusio",4,NONE,OUTPUT_ATTESTATION,Geometry Ring,P0 — primary alpha,"Text → Image / Vision → Masks",active
EXT-006,Nova Director,Regisseur Scenae Motus,Creative Intelligence,Sovereign multi-engine video intelligence,"Nova Kinema / Nova Pictor / Nova Fusio",3,NONE,OUTPUT_ATTESTATION,Geometry Ring,P1 — vision-gen alpha,"Text → Video / Multi → Video",active
EXT-007,Nova Composer,Compositor Harmoniae Artificialis,Creative Intelligence,Sovereign multi-engine audio intelligence,"Nova Harmonia / Nova Vox / Nova Cognos / Nova Fusio",4,NONE,OUTPUT_ATTESTATION,Geometry Ring,P1 — audio alpha,"Text → Audio / Audio → Text / Text → Music",active
EXT-008,Nova Forge,Faber Codicum Autonomus,Creative Intelligence,Sovereign multi-engine code generation,"Nova Codex / Nova Algorithmus / Nova Cognos / Nova Stratos",4,PHI_CASCADE,INTELLIGENCE_VERIFY,Build Ring,P0 — code alpha,"Text → Code",active
EXT-009,Nova Lens,Oculus Analytica Universalis,Analysis Intelligence,Sovereign multi-engine visual analysis,"Nova Cognos / Nova Segmentum / Nova Visio / Nova Vector",4,FIBONACCI_HASH,OUTPUT_ATTESTATION,Geometry Ring,P0 — primary alpha,"Text + Vision / Vision → Masks / Vision → Multi / Multi → Embedding",active
EXT-010,Nova Veritas,Verificator Veritatis Absolutae,Analysis Intelligence,Sovereign AI-powered fact verification,"Nova Scrutator / Nova Cognos / Nova Custodis / Nova Ranker",4,PHI_CASCADE,CHAIN_OF_THOUGHT_PROOF,Transport Ring,P0 — primary alpha,"Text + Search / Text + Vision / Text → Score / Text → Safety",active
EXT-011,Nova Datum,Analysta Datorum Profundorum,Analysis Intelligence,Sovereign multi-engine data analysis,"Nova Analytica / Nova Cognos / Nova Codex",3,FIBONACCI_HASH,INTELLIGENCE_VERIFY,Build Ring,P1 — data alpha,"Text / Text → Code",active
EXT-012,Nova Sentinel,Sentinella Observationis Perpetuae,Analysis Intelligence,Sovereign intelligent web monitoring,"Nova Vector / Nova Scrutator / Nova Stratos",3,SOVEREIGN_SEAL,SOVEREIGN_EXECUTION,Transport Ring,P1 — search alpha,"Text → Vector / Text + Search / Text",active
EXT-013,Nova Shield,Scutum Cryptographicum Absolutum,Security Intelligence,Sovereign AI encryption and privacy,"Nova Custodis / Nova Stratos / Nova Cognos",3,PHANTOM_ZERO_KNOWLEDGE,SOVEREIGN_EXECUTION,Counsel Ring,P0 — safety alpha,"Text / Text → Safety",active
EXT-014,Nova Guardian,Custos Contentus Sacrosanctus,Security Intelligence,Sovereign multi-engine content safety,"Nova Custodis / Nova Profundis / Nova Stratos",3,E8_LATTICE,MULTI_MODEL_CONSENSUS,Counsel Ring,P0 — safety alpha,"Text → Safety / Text + Vision / Text",active
EXT-015,Nova Phantom,Phantasma Navigatoris Invisibilis,Security Intelligence,Sovereign zero-knowledge browsing intelligence,"Nova Cognos / Nova Stratos",2,PHANTOM_ZERO_KNOWLEDGE,SOVEREIGN_EXECUTION,Sovereign Ring,P0 — primary alpha,"Text",active
EXT-016,Nova Vault,Arcanum Secretorum Aeternum,Security Intelligence,Sovereign AI-powered secret management,"Nova Stratos / Nova Custodis / Nova Vector",3,E8_LATTICE,SOVEREIGN_EXECUTION,Sovereign Ring,P0 — primary alpha,"Text / Text → Vector",active
EXT-017,Nova Architect,Architectus Processuum Intelligentium,Workflow Intelligence,Sovereign multi-AI workflow orchestration,"Nova Cognos / Nova Codex / Nova Profundis / Nova Custodis",4,PHI_CASCADE,INTELLIGENCE_VERIFY,Interface Ring,P0 — primary alpha,"Text + Vision + Audio / Text → Code / Text + Vision / Text → Safety",active
EXT-018,Nova Scribe,Scriba Documentorum Perpetuus,Workflow Intelligence,Sovereign multi-engine document intelligence,"Nova Profundis / Nova Cognos / Nova Structura",3,FIBONACCI_HASH,OUTPUT_ATTESTATION,Interface Ring,P0 — primary alpha,"Text + Vision / Text + Vision + Audio / Text",active
EXT-019,Nova Nexus,Nexus Sociorum Intelligentium,Workflow Intelligence,Sovereign multi-platform social intelligence,"Nova Socialis / Nova Scrutator / Nova Cognos",3,FIBONACCI_HASH,OUTPUT_ATTESTATION,Transport Ring,P1 — social alpha,"Text + Social / Text + Search / Text + Vision + Audio",active
EXT-020,Nova Empath,Empathos Therapeuticus Digitalis,Workflow Intelligence,Sovereign empathic AI conversation,"Nova Empathos / Nova Profundis / Nova Custodis",3,PHANTOM_ZERO_KNOWLEDGE,SOVEREIGN_EXECUTION,Memory Ring,P1 — empathy alpha,"Text / Text + Vision / Text → Safety",active
